content,n_words,clean,count_clean,review_without_stopwords,count_without_stopwords
"great, order arrived quickly 👍",5,great order arrived quickly,4,great order arrived quickly,4
good application for first aid if we want to ask about illness or if there is a problem in the body,21,good application for first aid if we want to ask about illness or if there is  problem in the body,20,good application first aid want ask illness problem body,9
easy and convenient,3,easy and convenient,3,easy convenient,2
very helpful,2,very helpful,2,helpful,1
excellent,1,excellent,1,excellent,1
good app,2,good app,2,good app,2
"fast response, various choices of doctors, the treatment from the doctor is almost the same as meeting in person",19,fast response various choices of doctors the treatment from the doctor is almost the same as meeting in person,19,fast response various choices doctors treatment doctor almost meeting person,10
"none of the spkk doctors were good. they prescribed retinoic acid and told me to use it every day. they gave me expensive cream that clogged my pores. then i changed to another doctor, and it was the same. they even prescribed antibiotics. it didn't get better. a waste of money.",51,none of the spkk doctors were good they prescribed retinoic acid and told me to use it every day they gave me expensive cream that clogged my pores then  changed to another doctor and it was the same they even prescribed antibiotics it didnt get better  waste of money,49,none spkk doctors good prescribed retinoic acid told use every day gave expensive cream clogged pores changed another doctor even prescribed antibiotics didnt get better waste money,27
helpful,1,helpful,1,helpful,1
good doctor,2,good doctor,2,good doctor,2
maybe it can be accommodated by small pharmacies so that purchases can be made at the nearest pharmacy. later the effect will be that shipping costs can be reduced. thank you,31,maybe it can be accommodated by small pharmacies so that purchases can be made at the nearest pharmacy later the effect will be that shipping costs can be reduced thank you,31,maybe accommodated small pharmacies purchases made nearest pharmacy later effect shipping costs reduced thank,14
there is no solution if you are given antibiotics and the pharmacy doesn't have them. because you can't buy it outside either. so it's useless. going to cs via heidy also has no solution.,34,there is no solution if you are given antibiotics and the pharmacy doesnt have them because you cant buy it outside either so its useless going to cs via heidy also has no solution,34,solution given antibiotics pharmacy doesnt cant buy outside either useless going cs via heidy also solution,16
the halodoc application is very helpful in sending medicine without having to queue at the hospital.,16,the halodoc application is very helpful in sending medicine without having to queue at the hospital,16,halodoc application helpful sending medicine without queue hospital,8
"very good, fast response",4,very good fast response,4,good fast response,3
very satisfying service from doctors2,5,very satisfying service from doctors,5,satisfying service doctors,3
very useful. thanks!,3,very useful thanks,3,useful thanks,2
thank you.,2,thank you,2,thank,1
nice app. helping me to contact with the doctor asap,10,nice app helping me to contact with the doctor asap,10,nice app helping contact doctor asap,6
very helpful indeed,3,very helpful indeed,3,helpful indeed,2
it's like the orange app but it sells medicine. 2-3 days delivery and the price is friendly.,17,its like the orange app but it sells medicine days delivery and the price is friendly,16,like orange app sells medicine days delivery price friendly,9
cool,1,cool,1,cool,1
cure,1,cure,1,cure,1
best apps,2,best apps,2,best apps,2
it is very helpful to have this application. you can consult first before coming to the hospital.,17,it is very helpful to have this application you can consult first before coming to the hospital,17,helpful application consult first coming hospital,6
"the refund funds haven't come in, and the response is slow. it sucks.",13,the refund funds havent come in and the response is slow it sucks,13,refund funds havent come response slow sucks,7
"very helpful even though the gps to my house is error so i can't order from gojek, i have to buy it myself. thank you",25,very helpful even though the gps to my house is error so  cant order from gojek  have to buy it myself thank you,23,helpful even though gps house error cant order gojek buy thank,11
"it's really annoying when i ask for an update. crazy. the notifications keep coming out every hour. yes, i understand if you ask for an update. you don't have to remember it every hour. if you want to update, i'll update. duh. i rate it 1 star, come on! luckily 2 stars. i'm still fine",55,its really annoying when  ask for an update crazy the notifications keep coming out every hour yes  understand if you ask for an update you dont have to remember it every hour if you want to update ill update duh  rate it star come on luckily stars im still fine,50,really annoying ask update crazy notifications keep coming every hour yes understand ask update dont remember every hour want update ill update duh rate star come luckily stars im fine,30
"the delivery service is great, if you ask the doctor, i've never tried it. it's very useful when i'm at home and don't feel like going to the pharmacy.",29,the delivery service is great if you ask the doctor ive never tried it its very useful when im at home and dont feel like going to the pharmacy,29,delivery service great ask doctor ive never tried useful im home dont feel like going pharmacy,16
fun😊😊 thank you halodoc🥰,4,fun thank you halodoc,4,fun thank halodoc,3
"very useful... can also make a recommendation letter for rest, if you don't have time to go to the nearest clinic for one reason or another, cool!!!",27,very useful can also make  recommendation letter for rest if you dont have time to go to the nearest clinic for one reason or another cool,26,useful also make recommendation letter rest dont time go nearest clinic one reason another cool,15
good,1,good,1,good,1
"good service, fast delivery.",4,good service fast delivery,4,good service fast delivery,4
this app is very helpful. thank you halodoc.,8,this app is very helpful thank you halodoc,8,app helpful thank halodoc,4
useful app,2,useful app,2,useful app,2
very good... but the application still hangs not responding,9,very good but the application still hangs not responding,9,good application hangs responding,4
great application. very useful. 👍👍👍,5,great application very useful,4,great application useful,3
"order 2 types of medicine at once via instant, 1 medicine was sent in a matter of hours, the other 2 days later. the patient was about to have a seizure, it's better to use the ojol app, it's faster. uninstall",41,order types of medicine at once via instant medicine was sent in  matter of hours the other days later the patient was about to have  seizure its better to use the ojol app its faster uninstall,36,order types medicine via instant medicine sent matter hours days later patient seizure better use ojol app faster uninstall,19
okay,1,okay,1,okay,1
"i have ordered medicine, then transferred it via virtual account but the transaction failed, then i asked for a refund and the website gave it, but the refund website gave an error, the application is clear",36, have ordered medicine then transferred it via virtual account but the transaction failed then  asked for  refund and the website gave it but the refund website gave an error the application is clear,33,ordered medicine transferred via virtual account transaction failed asked refund website gave refund website gave error application clear,18
"very helpfull app, pandemic or not",6,very helpfull app pandemic or not,6,helpfull app pandemic,3
very useful. hopefully integration with gojek is enhanced to monitor the delivery man,13,very useful hopefully integration with gojek is enhanced to monitor the delivery man,13,useful hopefully integration gojek enhanced monitor delivery man,8
very helpful and visionary,4,very helpful and visionary,4,helpful visionary,2
doctor consultation very easy to use; doctor gracefully accommodating.,9,doctor consultation very easy to use doctor gracefully accommodating,9,doctor consultation easy use doctor gracefully accommodating,7
okay,1,okay,1,okay,1
"great, especially after there is an integration feature with insurance...",10,great especially after there is an integration feature with insurance,10,great especially integration feature insurance,5
"expensive price, not clear whether it is generic or not, incomplete medicine.. why do you have to use a prescription because usually you don't need to buy it anyway..??",29,expensive price not clear whether it is generic or not incomplete medicine why do you have to use  prescription because usually you dont need to buy it anyway,28,expensive price clear whether generic incomplete medicine use prescription usually dont buy anyway,13
good,1,good,1,good,1
"thank god, i got the right doctor and the right prescription for the medicine",14,thank god  got the right doctor and the right prescription for the medicine,13,thank god got right doctor right prescription medicine,8
"the solution for those who need medicine but the pharmacy is far away or not 24 hours. thank you, halodoc!",20,the solution for those who need medicine but the pharmacy is far away or not hours thank you halodoc,19,solution medicine pharmacy far away hours thank halodoc,8
very helpful distance consultation...,4,very helpful distance consultation,4,helpful distance consultation,3
"the connection is very slow, often the chat time with the doctor runs out because it is not answered immediately",20,the connection is very slow often the chat time with the doctor runs out because it is not answered immediately,20,connection slow often chat time doctor runs answered immediately,9
very helpful,2,very helpful,2,helpful,1
good and fast service. please increase the stock of the medicine👍,11,good and fast service please increase the stock of the medicine,11,good fast service please increase stock medicine,7
good but too bad the consul is so fast,9,good but too bad the consul is so fast,9,good bad consul fast,4
"very useful and helpful. i am using it during the pandemic situation, while we couldn't go out to seek a professional medical advisor, and buy medication. response is good. price of consultation and also response is good.",37,very useful and helpful  am using it during the pandemic situation while we couldnt go out to seek  professional medical advisor and buy medication response is good price of consultation and also response is good,35,useful helpful using pandemic situation couldnt go seek professional medical advisor buy medication response good price consultation also response good,20
"all the doctors at halodoc are amazing... our family would like to say thank you very much to all the team of doctors. may god reward all your kindness and good deeds. we, our family, express our deepest gratitude.",39,all the doctors at halodoc are amazing our family would like to say thank you very much to all the team of doctors may god reward all your kindness and good deeds we our family express our deepest gratitude,39,doctors halodoc amazing family like say thank much team doctors may god reward kindness good deeds family express deepest gratitude,20
very useful,2,very useful,2,useful,1
"this apps is so helpfull for me.. when i can't go outside, i can order the medicine from this apps. thx u",22,this apps is so helpfull for me when  cant go outside  can order the medicine from this apps thx ,19,apps helpfull cant go outside order medicine apps thx,9
good app,2,good app,2,good app,2
fast and humble,3,fast and humble,3,fast humble,2
"my first contact with halodoc, surprise i can😆",8,my first contact with halodoc surprise  can,7,first contact halodoc surprise,4
"easy to use, kind doctor, and good response",8,easy to use kind doctor and good response,8,easy use kind doctor good response,6
very helpful in times of crisis,6,very helpful in times of crisis,6,helpful times crisis,3
"very helpful apps, my first solution to check my health problem before going to the hospital. the doctors are very kind and generous, they answered and explained every question i asked. good!",32,very helpful apps my first solution to check my health problem before going to the hospital the doctors are very kind and generous they answered and explained every question  asked good,31,helpful apps first solution check health problem going hospital doctors kind generous answered explained every question asked good,18
very useful indeed,3,very useful indeed,3,useful indeed,2
"responsive doctor, explains clearly enough",5,responsive doctor explains clearly enough,5,responsive doctor explains clearly enough,5
the service is very good👍,5,the service is very good,5,service good,2
very useful apps,3,very useful apps,3,useful apps,2
very helpful,2,very helpful,2,helpful,1
"hummm i'm asking, i just wanted to try, but it turns out the doctor actually contacted me directly, huh? because i was surprised, i thought it was just a chat...",30,hummm im asking  just wanted to try but it turns out the doctor actually contacted me directly huh because  was surprised  thought it was just  chat,26,hummm im asking wanted try turns doctor actually contacted directly huh surprised thought chat,14
good apps good doctor,4,good apps good doctor,4,good apps good doctor,4
very helpful,2,very helpful,2,helpful,1
great app. doctors are all on standby. quick to answer questions. 👍👍,12,great app doctors are all on standby quick to answer questions,11,great app doctors standby quick answer questions,7
better than other options,4,better than other options,4,better options,2
the doctors are all friendly,5,the doctors are all friendly,5,doctors friendly,2
helped by the halodoc application for family swab test appointments and ordering vitamins/medicine for parents.,15,helped by the halodoc application for family swab test appointments and ordering vitaminsmedicine for parents,15,helped halodoc application family swab test appointments ordering vitaminsmedicine parents,10
so helpful!!!!,2,so helpful,2,helpful,1
very helpful application. fast response,5,very helpful application fast response,5,helpful application fast response,4
"very very helpful, toppppp 👍👍👍👍",5,very very helpful toppppp,4,helpful toppppp,2
very useful,2,very useful,2,useful,1
"this app helps a lot, to talk to doctor mo need to go to hospital and i can't choose the doctor based on type of illness and can choose specialist also, event for the medicine i can do on line order and the medicine will be sent directly to our house, really helpful and the charging is cheaper than directly going to the doctor",64,this app helps  lot to talk to doctor mo need to go to hospital and  cant choose the doctor based on type of illness and can choose specialist also event for the medicine  can do on line order and the medicine will be sent directly to our house really helpful and the charging is cheaper than directly going to the doctor,61,app helps lot talk doctor mo go hospital cant choose doctor based type illness choose specialist also event medicine line order medicine sent directly house really helpful charging cheaper directly going doctor,32
good and very helpful,4,good and very helpful,4,good helpful,2
very helpful,2,very helpful,2,helpful,1
quick response,2,quick response,2,quick response,2
good app,2,good app,2,good app,2
"tried consulting a doctor,... the response was quite fast too. it's just a shame there's no menu to delete file attachments in the chat.",24,tried consulting  doctor the response was quite fast too its just  shame theres no menu to delete file attachments in the chat,22,tried consulting doctor response quite fast shame theres menu delete file attachments chat,13
really helpful,2,really helpful,2,really helpful,2
very helpful,2,very helpful,2,helpful,1
"good, professional, fast, no need to go offline",8,good professional fast no need to go offline,8,good professional fast go offline,5
"it is very helpful, especially in an epidemic situation like this, before going to the hospital you can consult a doctor first.",22,it is very helpful especially in an epidemic situation like this before going to the hospital you can consult  doctor first,21,helpful especially epidemic situation like going hospital consult doctor first,10
"the delivery is fast, payment is also very easy with go-pay and free shipping 👌",15,the delivery is fast payment is also very easy with gopay and free shipping,14,delivery fast payment also easy gopay free shipping,8
the product is not available but is being offered.,9,the product is not available but is being offered,9,product available offered,3
very helpful during this pandemic.,5,very helpful during this pandemic,5,helpful pandemic,2
"nowadays, many hospitals are using halodoc, so i don't have to wait long for the medicine at the pharmacy or i don't need to give a prescription to pick up the medicine the next day. now, i just need to use halodoc and then we just have to wait for it to be sent to my house that day with free shipping.",62,nowadays many hospitals are using halodoc so  dont have to wait long for the medicine at the pharmacy or  dont need to give  prescription to pick up the medicine the next day now  just need to use halodoc and then we just have to wait for it to be sent to my house that day with free shipping,58,nowadays many hospitals using halodoc dont wait long medicine pharmacy dont give prescription pick medicine next day use halodoc wait sent house day free shipping,25
,0,,0,,0
good,1,good,1,good,1
"very useful, practical and beneficial. however, my first experience, the doctor was in a hurry to end chat. but in my last experience the doctor was very professional, patient and helpful. after the consultation, i was able to immediately order the medicine, delivered by gojek, the price of the medicine was also discounted. it's great.",55,very useful practical and beneficial however my first experience the doctor was in  hurry to end chat but in my last experience the doctor was very professional patient and helpful after the consultation  was able to immediately order the medicine delivered by gojek the price of the medicine was also discounted its great,53,useful practical beneficial however first experience doctor hurry end chat last experience doctor professional patient helpful consultation able immediately order medicine delivered gojek price medicine also discounted great,28
"i can't chat with the doctor, he said it was an error, why is that?",15, cant chat with the doctor he said it was an error why is that,14,cant chat doctor said error,5
"so helpful, what a great apps.. thank you so much halodoc!",11,so helpful what  great apps thank you so much halodoc,10,helpful great apps thank much halodoc,6
"if there is a shipping fee, please give a discount, thank you.",12,if there is  shipping fee please give  discount thank you,10,shipping fee please give discount thank,6
"very helpful, especially in a pandemic situation like now. the doctor is also quick in responding to the consul's chat. keep it up!",23,very helpful especially in  pandemic situation like now the doctor is also quick in responding to the consuls chat keep it up,22,helpful especially pandemic situation like doctor also quick responding consuls chat keep,12
good app..really glad to know halodoc when covid still attacks,10,good glad to know halodoc when covid still attacks,9,good glad know halodoc covid attacks,6
okay,1,okay,1,okay,1
"it's very easy, in times of emergency, and cheaper than going to the hospital. you can also have privacy from the surrounding area, so no one will know.",28,its very easy in times of emergency and cheaper than going to the hospital you can also have privacy from the surrounding area so no one will know,28,easy times emergency cheaper going hospital also privacy surrounding area one know,12
"very helpful app,",3,very helpful app,3,helpful app,2
excellent,1,excellent,1,excellent,1
okay,1,okay,1,okay,1
"helpful, quite easy to use",5,helpful quite easy to use,5,helpful quite easy use,4
not fully integrated with gojek so live tracking cannot be seen,11,not fully integrated with gojek so live tracking cannot be seen,11,fully integrated gojek live tracking cannot seen,7
would love to be able to share articles with friends.,10,would love to be able to share articles with friends,10,love able share articles friends,5
,0,,0,,0
good..,1,good,1,good,1
"simple and hopefully accurate, it can help those who need consultation.",11,simple and hopefully accurate it can help those who need consultation,11,simple hopefully accurate help consultation,5
quite clear in explaining.,4,quite clear in explaining,4,quite clear explaining,3
"ffs, it is one of the most useful apps during this pandemic. easy to use, smooth move from one feature to another, fast response doctors, fast delivery of medicines. crazy. i should give 100⭐",34,ffs it is one of the most useful apps during this pandemic easy to use smooth move from one feature to another fast response doctors fast delivery of medicines crazy  should give,32,ffs one useful apps pandemic easy use smooth move one feature another fast response doctors fast delivery medicines crazy give,20
"satisfied with this app, the doctor's response was fast and very good, the explanation was very detailed with the recipes given. it really helps during this covid-19 pandemic for me who is afraid of going to the hospital.",38,satisfied with this app the doctors response was fast and very good the explanation was very detailed with the recipes given it really helps during this covid pandemic for me who is afraid of going to the hospital,38,satisfied app doctors response fast good explanation detailed recipes given really helps covid pandemic afraid going hospital,17
"it's helpful, especially when traveling like this.",7,its helpful especially when traveling like this,7,helpful especially traveling like,4
very happy with this application.. no need to look for a doctor in the middle of the night... thanks halodoc,20,very happy with this application no need to look for  doctor in the middle of the night thanks halodoc,19,happy application look doctor middle night thanks halodoc,8
halodoc by gojek super fast and reliable even u order for someone in different locations !! great app!!,18,halodoc by gojek super fast and reliable even  order for someone in different locations great app,16,halodoc gojek super fast reliable even order different locations great app,11
easy to use app....ordered sritex masks and immediately executed 2 packs....in about 2 hours the gojek driver appeared in front....awesome 👍👍👍👍,21,easy to use  sritex masks and immediately executed about hours the gojek driver appeared in ,15,easy use sritex masks immediately executed hours gojek driver appeared,10
fast & accurate service,4,fast accurate service,3,fast accurate service,3
good and simple,3,good and simple,3,good simple,2
excellent,1,excellent,1,excellent,1
"i set up an appointment (rapid test covid-19). it was ok. no problem. however, the results didn't appear on the app. i logged out, logged in, nothing changed. no results. i checked the update. it was not available. i tried to chat in the app. no response.",47, set up an appointment rapid test covid it was ok no problem however the results didnt appear on the app  logged out logged in nothing changed no results  checked the update it was not available  tried to chat in the app no response,43,set appointment rapid test covid ok problem however results didnt appear app logged logged nothing changed results checked update available tried chat app response,24
the doctor's service is very friendly,6,the doctors service is very friendly,6,doctors service friendly,3
steady the soul,3,steady the soul,3,steady soul,2
facilitate consultation with various specialist doctors of your choice.,9,facilitate consultation with various specialist doctors of your choice,9,facilitate consultation various specialist doctors choice,6
"so helpful, especially during this corona virus pandemic.",8,so helpful especially during this corona virus pandemic,8,helpful especially corona virus pandemic,5
"the doctor is very good, fast response",7,the doctor is very good fast response,7,doctor good fast response,4
"disappointing!!! already paid, my 2 orders never arrived!!!!!!!",8,disappointing already paid my orders never arrived,7,disappointing already paid orders never arrived,6
"can't connect to manulife insurance, admin doesn't answer questions",9,cant connect to manulife insurance admin doesnt answer questions,9,cant connect manulife insurance admin doesnt answer questions,8
"this app is cool and very helpful for young mothers,",10,this app is cool and very helpful for young mothers,10,app cool helpful young mothers,5
the trash application doesn't provide clear tracking number information and it's not clear which pharmacy to purchase from.,18,the trash application doesnt provide clear tracking number information and its not clear which pharmacy to purchase from,18,trash application doesnt provide clear tracking number information clear pharmacy purchase,11
very helpful,2,very helpful,2,helpful,1
easy to use and straight forward!,6,easy to use and straight forward,6,easy use straight forward,4
very helpful,2,very helpful,2,helpful,1
"i've paid but i can't consult via chat, what's the doctor like?",12,ive paid but  cant consult via chat whats the doctor like,11,ive paid cant consult via chat whats doctor like,9
very helpful in times of emergency and during a pandemic like now,12,very helpful in times of emergency and during  pandemic like now,11,helpful times emergency pandemic like,5
very helpful,2,very helpful,2,helpful,1
"very useful, especially in the current pandemic conditions.",8,very useful especially in the current pandemic conditions,8,useful especially current pandemic conditions,5
"make a doctor appointment with this apps, hope to save some time, in reality there's no difference with walk in registration. i regret followed apps suggestion to arrive at least 15 minutes before schedule, if i know the result will be like this, i will arrive 2 hours before to get queue number early.",54,make  doctor appointment with this apps hope to save some time in reality theres no difference with walk in registration  regret followed apps suggestion to arrive at least minutes before schedule if  know the result will be like this  will arrive hours before to get queue number early,48,make doctor appointment apps hope save time reality theres difference walk registration regret followed apps suggestion arrive least minutes schedule know result like arrive hours get queue number early,29
really helpful,2,really helpful,2,really helpful,2
"thank you for making it easier for our family, the need for medicine, especially our child who is far from us. at the islamic boarding school. thank you, hello doc.",30,thank you for making it easier for our family the need for medicine especially our child who is far from us at the islamic boarding school thank you hello doc,30,thank making easier family medicine especially child far us islamic boarding school thank hello doc,15
fast response and full help,5,fast response and full help,5,fast response full help,4
"love you so much, the doctor is very helpful",9,love you so much the doctor is very helpful,9,love much doctor helpful,4
good app,2,good app,2,good app,2
"in the current situation, this halodoc application is very useful. for purchasing medicine, as input, it is better to cooperate with pharmacies in the surrounding area, so the courier does not have to go very far to deliver the medicine to its destination. incidentally, in my experience, the location for picking up the medicine was far from the delivery location (my location). thank you & always be successful",68,in the current situation this halodoc application is very useful for purchasing medicine as input it is better to cooperate with pharmacies in the surrounding area so the courier does not have to go very far to deliver the medicine to its destination incidentally in my experience the location for picking up the medicine was far from the delivery location my location thank you always be successful,67,current situation halodoc application useful purchasing medicine input better cooperate pharmacies surrounding area courier go far deliver medicine destination incidentally experience location picking medicine far delivery location location thank always successful,31
helpfull. thankyou,2,helpfull thankyou,2,helpfull thankyou,2
first time using this application. and the response is good. the doctor is also good. hopefully my child can get better after being prescribed medicine by the doctor. thank you.,30,first time using this application and the response is good the doctor is also good hopefully my child can get better after being prescribed medicine by the doctor thank you,30,first time using application response good doctor also good hopefully child get better prescribed medicine doctor thank,17
very easy,2,very easy,2,easy,1
good,1,good,1,good,1
good,1,good,1,good,1
"fast, correct medicine, and free delivery fee",7,fast correct medicine and free delivery fee,7,fast correct medicine free delivery fee,6
very helpful,2,very helpful,2,helpful,1
facilitate online consultation with the intended doctor. the application is very useful and very helpful,15,facilitate online consultation with the intended doctor the application is very useful and very helpful,15,facilitate online consultation intended doctor application useful helpful,8
offline doctors who don't answer are still counted as transactions. not recommended,12,offline doctors who dont answer are still counted as transactions not recommended,12,offline doctors dont answer counted transactions recommended,7
fast...very good halodoc..👍,3,good halodoc,2,good halodoc,2
very helpful. but the application performance is still slow. plese enhance your engine.,13,very helpful but the application performance is still slow plese enhance your engine,13,helpful application performance slow plese enhance engine,7
good chat session with the doctor and the doctor is also responsive.. just a bit complicated payment. it would be better if you can access it using ibanking..,28,good chat session with the doctor and the doctor is also responsive just  bit complicated payment it would be better if you can access it using ibanking,27,good chat session doctor doctor also responsive bit complicated payment better access using ibanking,14
not recommended! dissapointed by the app & the cs.,9,not recommended dissapointed by the app the cs,8,recommended dissapointed app cs,4
responsive,1,responsive,1,responsive,1
the doctor is friendly,4,the doctor is friendly,4,doctor friendly,2
still haven't tried it yet. so far there are no bugs,11,still havent tried it yet so far there are no bugs,11,havent tried yet far bugs,5
practical and fast,3,practical and fast,3,practical fast,2
"the doctor's response was fast, hopefully the medicine is suitable and you recover quickly.",14,the doctors response was fast hopefully the medicine is suitable and you recover quickly,14,doctors response fast hopefully medicine suitable recover quickly,8
fast and responsive,3,fast and responsive,3,fast responsive,2
suggestion for print out of consultation and prescription can be made into 1 invoice. needs can be for reimbursement,19,suggestion for print out of consultation and prescription can be made into invoice needs can be for reimbursement,18,suggestion print consultation prescription made invoice needs reimbursement,8
"the consultation is easy and can be paid for by gopay, so it's not complicated.",15,the consultation is easy and can be paid for by gopay so its not complicated,15,consultation easy paid gopay complicated,5
excellent,1,excellent,1,excellent,1
very helpful,2,very helpful,2,helpful,1
good,1,good,1,good,1
"please show the location of the drugstore, or at least we can select at the same place",17,please show the location of the drugstore or at least we can select at the same place,17,please show location drugstore least select place,7
it really helps during a pandemic like this. especially when the ones who are sick are children.,17,it really helps during  pandemic like this especially when the ones who are sick are children,16,really helps pandemic like especially ones sick children,8
very helpful,2,very helpful,2,helpful,1
it is superb.,3,it is superb,3,superb,1
fast response,2,fast response,2,fast response,2
"great, no need to queue for long at the clinic for common illnesses",13,great no need to queue for long at the clinic for common illnesses,13,great queue long clinic common illnesses,6
good,1,good,1,good,1
an application that makes things very easy in a corona situation like this. no need to queue and leave the house.,21,an application that makes things very easy in  corona situation like this no need to queue and leave the house,20,application makes things easy corona situation like queue leave house,10
good,1,good,1,good,1
steady soul,2,steady soul,2,steady soul,2
"very helpful, when you don't have time to go to the doctor immediately, just use alodok, the medicine can be directly given. very easy",24,very helpful when you dont have time to go to the doctor immediately just use alodok the medicine can be directly given very easy,24,helpful dont time go doctor immediately use alodok medicine directly given easy,12
"this app is very helpful. it's a consultation for minor illnesses, good job 👍👍",14,this app is very helpful its  consultation for minor illnesses good job,12,app helpful consultation minor illnesses good job,7
the application is very good,5,the application is very good,5,application good,2
very helpful especially when sick and can't leave the house,10,very helpful especially when sick and cant leave the house,10,helpful especially sick cant leave house,6
very ok ok,3,very ok ok,3,ok ok,2
"i am quite dissapointed with this app during the pandemic rise ..while being able to get on line medical consultation and medicine is a great help for us but we hope halodoc should also be able to give alternative medicine if the stock is empty in nearby medicine store..especially for influenza medicine which is very important during corona pandemic like this.. we suggest doctors to be able to give several alternative lists of medicines especially pandemic related medicines, thank you!",80, am quite dissapointed with this app during the pandemic rise being able to get on line medical consultation and medicine is  great help for us but we hope halodoc should also be able to give alternative medicine if the stock is empty in nearby medicine ally for influenza medicine which is very important during corona pandemic like this we suggest doctors to be able to give several alternative lists of medicines especially pandemic related medicines thank you,77,quite dissapointed app pandemic rise able get line medical consultation medicine great help us hope halodoc also able give alternative medicine stock empty nearby medicine ally influenza medicine important corona pandemic like suggest doctors able give several alternative lists medicines especially pandemic related medicines thank,45
awesome..,1,awesome,1,awesome,1
"trusted doctor, and the medicine arrived quickly",7,trusted doctor and the medicine arrived quickly,7,trusted doctor medicine arrived quickly,5
"very helpful, only i don't know the set price because there is no shopping receipt",15,very helpful only  dont know the set price because there is no shopping receipt,14,helpful dont know set price shopping receipt,7
helpful,1,helpful,1,helpful,1
can't connect to my gopay? says incorrect pin all.the.time? (that was correct),12,cant connect to my gopay says incorrect pin that was correct,11,cant connect gopay says incorrect pin correct,7
make it easy,3,make it easy,3,make easy,2
very helpful,2,very helpful,2,helpful,1
,0,,0,,0
so flexible. i love it!,5,so flexible  love it,4,flexible love,2
very helpful,2,very helpful,2,helpful,1
best good solution 👍👍👍,4,best good solution,3,best good solution,3
awesome,1,awesome,1,awesome,1
good,1,good,1,good,1
great app!,2,great app,2,great app,2
great apps,2,great apps,2,great apps,2
thank you!!!,2,thank you,2,thank,1
very helpful especially in a pandemic like this. but sometimes you have to find all the places that have stock so it's a shame for the courier to deliver so far away,32,very helpful especially in  pandemic like this but sometimes you have to find all the places that have stock so its  shame for the courier to deliver so far away,30,helpful especially pandemic like sometimes find places stock shame courier deliver far away,13
usefull app,2,usefull app,2,usefull app,2
best online application for heatlh,5,best online application for heatlh,5,best online application heatlh,4
very good,2,very good,2,good,1
"easy, fast, economical",3,easy fast economical,3,easy fast economical,3
love the app..very helpful..,4,love the helpful,3,love helpful,2
easy to use..,3,easy to use,3,easy use,2
fast delivery. affordable price,4,fast delivery affordable price,4,fast delivery affordable price,4
"location is unknown, even though gps is on, manual location settings also don't work",14,location is unknown even though gps is on manual location settings also dont work,14,location unknown even though gps manual location settings also dont work,11
useless. a lot of products unavailable. yik.,7,useless  lot of products unavailable yik,6,useless lot products unavailable yik,5
useful,1,useful,1,useful,1
nice,1,nice,1,nice,1
the right solution when sick,5,the right solution when sick,5,right solution sick,3
"thank you, no need to get tired & queue for a long time at the pharmacy anymore... very helpful👍👍🙏",19,thank you no need to get tired queue for  long time at the pharmacy anymore very helpful,17,thank get tired queue long time pharmacy anymore helpful,9
helpful when u need...,4,helpful when  need,3,helpful,1
"alhamdulillah, this application makes things easier",6,alhamdulillah this application makes things easier,6,alhamdulillah application makes things easier,5
fast!,1,fast,1,fast,1
the information is very helpful,5,the information is very helpful,5,information helpful,2
good,1,good,1,good,1
love this app!,3,love this app,3,love app,2
"it's really cool, buying medicine is also easier, just upload the prescription then order, and it's delivered quickly, no hassle, i love it ❤️",24,its really cool buying medicine is also easier just upload the prescription then order and its delivered quickly no hassle  love it,22,really cool buying medicine also easier upload prescription order delivered quickly hassle love,13
"good application, bad service, problem with delivery of goods not sent, cs is useless",14,good application bad service problem with delivery of goods not sent cs is useless,14,good application bad service problem delivery goods sent cs useless,10
"the application is good but unfortunately if we consult a doctor who doesn't serve us, it will be cut off immediately and our money will be deducted, i had to do it 3 times and the cs is also slow and the money won't be returned. be careful friends who use it.",52,the application is good but unfortunately if we consult  doctor who doesnt serve us it will be cut off immediately and our money will be deducted  had to do it times and the cs is also slow and the money wont be returned be careful friends who use it,49,application good unfortunately consult doctor doesnt serve us cut immediately money deducted times cs also slow money wont returned careful friends use,22
good,1,good,1,good,1
it's easier without having to go to the doctor directly,10,its easier without having to go to the doctor directly,10,easier without go doctor directly,5
"the apps are fast, responsive. but after you place and pay your med, the gosend courier is keep changing driver, idk why. it means your med takes longer to reach your home",32,the apps are fast responsive but after you place and pay your med the gosend courier is keep changing driver idk why it means your med takes longer to reach your home,32,apps fast responsive place pay med gosend courier keep changing driver idk means med takes longer reach home,18
so helpful. the doctor is friendly. the application is easy.,10,so helpful the doctor is friendly the application is easy,10,helpful doctor friendly application easy,5
too bad error loading massage then,6,too bad error loading massage then,6,bad error loading massage,4
"another incident of disappointment with halodoc. incompetent, not helpful, the child is already sick, has a high fever, but is slow",21,another incident of disappointment with halodoc incompetent not helpful the child is already sick has  high fever but is slow,20,another incident disappointment halodoc incompetent helpful child already sick high fever slow,12
very useful in an emergency when you need to buy medicine,11,very useful in an emergency when you need to buy medicine,11,useful emergency buy medicine,4
very useful,2,very useful,2,useful,1
the first experience was difficult after entering ok.. at first i was a bit desperate,15,the first experience was difficult after entering ok at first  was  bit desperate,13,first experience difficult entering ok first bit desperate,8
really good app. really helpful!🖤,5,really good app really helpful,5,really good app really helpful,5
